submission_date,state,tot_cases,new_case,tot_death,new_death
2021-02-06,NY,838229,5902.0,16781,95.0
2021-02-06,KY,376262,1994.0,4020,49.0
2021-02-06,AL,471311,1992.0,8513,64.0
2021-02-06,GA,937402,4490.0,15090,232.0
2021-02-06,PW,0,0.0,0,0.0
2021-02-06,NC,791521,4172.0,9926,85.0
2021-02-06,SD,109132,188.0,1804,6.0
2021-02-06,NE,193421,2.0,1968,0.0
2021-02-06,PR,95839,484.0,1883,11.0
2021-02-06,NJ,717835,4511.0,21964,78.0
2021-02-06,CO,404255,1541.0,5721,17.0
2021-02-06,FL,1739276,7345.0,27599,142.0
2021-02-06,OR,146741,604.0,2019,17.0
2021-02-06,MN,467217,993.0,6357,16.0
2021-02-06,LA,409861,0.0,9076,0.0
2021-02-06,MP,133,0.0,2,0.0
2021-02-06,MO,466217,769.0,7143,1.0
2021-02-06,IA,323937,428.0,5108,41.0
2021-02-06,UT,353700,1211.0,1733,5.0
2021-02-06,NM,177214,421.0,3386,8.0
2021-02-06,IL,1144281,3062.0,21676,73.0
2021-02-06,FSM,1,0.0,0,0.0
2021-02-06,NV,283391,898.0,4496,33.0
2021-02-06,CA,3320862,12394.0,43647,623.0
2021-02-06,IN,637987,2816.0,11752,66.0
2021-02-06,OK,403185,0.0,3718,0.0
2021-02-06,AK,53279,0.0,277,0.0
2021-02-06,SC,462981,3007.0,7611,58.0
2021-02-06,AZ,779093,3471.0,14011,63.0
2021-02-06,NH,68061,466.0,1098,7.0
2021-02-06,ID,165209,240.0,1767,9.0
2021-02-06,WI,600016,1114.0,6611,36.0
2021-02-06,GU,7636,0.0,129,0.0
2021-02-06,RMI,4,0.0,0,0.0
2021-02-06,HI,25639,104.0,413,0.0
2021-02-06,DE,79832,286.0,1202,11.0
2021-02-06,TN,742213,3182.0,10463,58.0
2021-02-06,ND,98155,49.0,1428,0.0
2021-02-06,WA,320146,775.0,4449,0.0
2021-02-06,NYC,638804,4465.0,27706,96.0
2021-02-06,WV,124190,549.0,2119,19.0
2021-02-06,MT,95717,259.0,1312,5.0
2021-02-06,MS,281678,900.0,6269,3.0
2021-02-06,VI,2466,17.0,24,0.0
2021-02-06,WY,52618,42.0,624,0.0
2021-02-05,GA,932912,4842.0,14858,102.0
2021-02-05,IL,1141219,3660.0,21603,106.0
2021-02-05,MN,466224,1048.0,6341,22.0
2021-02-05,NC,787349,5547.0,9841,113.0
